1,0,"Poslovni cilj definiran od Uprave, odobren od Nadzornog Odbora.",Company cilj,2020-12-31,1,2020-09-17 12:22:09.307000,
2,1,Retail unsecured cash collected,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.883000,admin
3,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.887000,admin
4,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.887000,admin
5,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.887000,admin
6,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.887000,admin
7,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.887000,admin
8,1,"Detaljno pregledati svu PM dokumentaciju koja se nalazi na IT share-u te odraditi novu organizaciju po projektima uz detaljnu analizu dokumentacije koja je možda na JIRI, direktno na emailu ili na bilo kojem drugom izvoru ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
9,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
10,1,Puštanje straniceza Sloveniju po uzoru na b2nekretnine.hr zajedno sa Anðelkom Beloševiæem,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
11,1,"Uspostavljanje DQA baze podataka na dostupnom SQL serveru. Priprema samog okruženja (podešavanje roles&rights, èišæenje,pregled postavki). Kreiranje arhitekture okruženja (relacijske baze podataka, opæe baze podataka, log-file-ovi). Prebacivanje daily tablica i procesa u SQL.",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
12,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
13,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
14,1,Generalna percepcija kvalitete posla Office managementa na nivou kompanije,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
15,1,Odnos izmeðu novèane naplate i preuzimanja nekretnina u naplati: održavanje visoke razine novèane naplate u ukupnoj naplati,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
16,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.890000,admin
17,1,gesrer,Timski cilj,2020-12-31,1,2020-10-05 10:23:48.223000,anja.sa
18,1,Max possible report automation and connecting AroTron collateral IDs to curves,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.893000,admin
19,1,Ratio of cash vs repossession in recovery: keeping on a high level cash recovery in total recovered amount,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.893000,admin
20,1,"AroTRON infrastruktura prelazi u DC.
Namjera je prebaciti lokaciju produkcije i test okoline s premještanjem produkcijskih poslužitelja AroTRON i Exelisys na A1 IaaS (DC) kako bi se postigle bolje performanse kroz skalabilnost resursa i podizanje verzije SQL servera te premještanje AroTRON servera za testiranje natrag u virtualnu infrastrukturu koja nalazi se u prostorijama B2K. Bez dodatnih troškova za B2K, samo ponovno korištenje trenutnih DC izvora.",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.893000,admin
21,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.893000,admin
22,1,Keeping on a high level cash recovery in total recovered amount ,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.893000,admin
23,1,Max possible report automation and connecting to AroTron  collateralIDs tocurves,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.893000,admin
24,1,Ratio of cash vs repossession in recovery. Keeping on a high level cash recovery in total recovered amount *,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.893000,admin
25,1,"All unmatched payments should be posted within 2 nd working days, all return of owerpayments should be within the legal dedline ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.893000,admin
26,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.897000,admin
27,1,Max possible report automation and connecting AroTron collateral Ids to curves,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.897000,admin
28,1,"Ukupna naplata = 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.897000,admin
29,1,Retail unsecured cash collected,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.897000,admin
30,1,,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.897000,admin
31,1,"Ubrzati prosjeèno vrijeme rješavanja jednostavnih tiketa (eksternalizacija predmeta, customer import, brisanje akcija, promjena statusa itd.)",Timski cilj,2020-12-31,1,2020-10-04 11:23:41.367000,davorin.m
32,1,All post must be processed in period of 2 working days,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.897000,admin
33,1,"Odnos cash naplate i preuzimanja - zadržavanje veæeg postotka cash naplate u odnosu na preuzimanja u ukupnom izvješæu naplate. Iz ovog cilja su iskljuèeni predmeti IGH, Alf Group, PS Immo",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
34,1,Akcije i faze targetirane na 5 radnih dana I prigovore na 15 kalendarskih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
35,1,All physical post must be processed in period of 2 working days,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
36,1,"Ukupna naplata u periodu od 01.07. do 31.12. treba iznositi 8.278.078,45 EUR ",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
37,1,"ukupna naplata 8.278.078,45 EUR",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
38,1,Satisfaction of other colleagues with Accounting department,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
39,1,"Ukupna naplata 8.278.078,45 EUR (+/- 10%)",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
40,1,"One 2 One IT staff communication, coaching and feedback meetings with the department Head",Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
41,1,Akcije  targetirane na 5 radnih dana riješiti u zadanom roku,Timski cilj,2020-12-31,1,2020-09-17 12:24:16.900000,admin
